Messages;Total Time (sec);First Message Arrival (sec);Average Time per Round (sec);Key Generation (%);Commitments on Key (%);PoK Generation on Keys (%);Sending Comm&PoK on Keys (%);Receive Comm&PoK on Keys (%);Setting Round Messages (%);Calculate PoK on Message Format (%);Send Format Proof (%);Receive Comm&PoK on Format (%);Calculate PoK on Message (%);Send PoK on Message (%);Receive PoK on Message (%);Calculate PoK on Output (%);Send PoK on Output (%);Receive PoK on Output (%);Virtual Round (%);Round Resolution (%);Total Messages Size (bytes);Average Messages Size per Round (bytes);Average Bandwith by participant (bytes/sec);Average Bandwith Approx. all room (bytes/sec)
18;53.2741;26.3024;2.9597;16.1774;8.2494;0.1482;0.0211;17.1692;0.2264;0.3201;0.0000;27.7253;0.1998;0.0020;11.0612;0.3387;0.0020;18.3560;0.0000;0.0020;188418.4667;10467.2000;3536.7849;106103.5461
19;58.0592;14.3112;3.0558;18.3359;7.9447;0.1394;0.0209;16.7104;0.2131;0.3032;0.0000;26.3329;0.1882;0.0020;11.3271;0.3683;0.0020;18.1091;0.0000;0.0020;198817.2333;10463.5333;3424.3957;102731.8741
20;61.8891;20.3212;3.0944;18.3146;7.9010;0.1383;0.0195;16.5496;0.2129;0.2995;0.0000;26.2614;0.1882;0.0021;11.6600;0.3645;0.0028;18.0825;0.0000;0.0020;210020.8333;10500.5667;3393.5111;101805.3354
21;66.0797;24.9768;3.1466;20.0929;7.7713;0.1379;0.0186;15.9723;0.2103;0.2953;0.0000;25.8933;0.1874;0.0019;11.6035;0.3554;0.0021;17.4548;0.0000;0.0020;219441.6000;10449.1333;3320.8755;99626.2630
22;65.9582;20.4434;2.9981;16.5195;8.0850;0.1459;0.0197;16.9962;0.2260;0.3159;0.0000;27.2633;0.1993;0.0019;11.0758;0.3578;0.0022;18.7885;0.0000;0.0020;232871.6667;10584.6000;3530.6075;105918.2245
23;69.1965;26.6729;3.0085;15.8170;8.0562;0.1532;0.0183;17.0159;0.2382;0.3326;0.0000;27.7023;0.2033;0.0020;11.1163;0.3659;0.0023;18.9737;0.0000;0.0020;245147.3333;10658.1333;3542.7782;106283.3446
24;72.4642;26.7445;3.0193;16.8467;8.1035;0.1508;0.0177;17.1248;0.2304;0.3233;0.0000;27.4406;0.2028;0.0019;11.0146;0.3412;0.0021;18.1969;0.0000;0.0020;253236.0333;10550.9667;3494.6339;104839.0195
25;74.2354;17.2056;2.9695;15.7652;8.2270;0.1441;0.0178;17.3170;0.2250;0.3140;0.0000;27.3895;0.1982;0.0019;11.0036;0.3613;0.0021;19.0304;0.0000;0.0020;264889.7333;10595.0667;3568.2452;107047.3580
26;76.6693;25.9546;2.9489;16.2036;8.2754;0.1400;0.0177;17.3499;0.2170;0.3036;0.0000;27.2414;0.1941;0.0025;10.8371;0.3523;0.0021;18.8602;0.0000;0.0020;273704.3333;10526.6000;3569.9487;107098.4580
27;78.9709;26.1242;2.9249;16.0657;8.3509;0.1453;0.0178;17.4438;0.2279;0.3178;0.0000;27.8053;0.1991;0.0020;11.0515;0.3256;0.0021;18.0422;0.0000;0.0020;281480.1667;10424.7000;3564.3504;106930.5114
28;83.2225;26.3411;2.9723;16.4200;8.2272;0.1451;0.0174;17.1243;0.2239;0.3132;0.0000;27.3627;0.1984;0.0020;11.0835;0.3501;0.0021;18.5273;0.0000;0.0020;294918.2000;10532.3333;3543.7273;106311.8197
29;93.3369;26.1040;3.2186;19.4944;7.6200;0.1363;0.0155;15.5819;0.2101;0.2947;0.0000;25.4580;0.1868;0.0013;11.9791;0.4098;0.0020;18.6071;0.0000;0.0020;309558.5000;10673.9333;3316.5796;99497.3900
30;97.4967;33.5586;3.2498;20.3616;7.5458;0.1370;0.0154;15.7124;0.2145;0.2999;0.0000;25.1224;0.1875;0.0012;12.8317;0.3698;0.0020;17.1956;0.0000;0.0020;315655.2000;10521.4333;3237.5969;97127.9078
